id,name,urbanCenter,capital,pop2015Cat,lat,lon
2380,Oka-Akoko,1,0,>100k,7.46,5.8
2382,Ovwian,1,0,>100k,5.5,5.82
2384,Bern,1,1,>100k,46.92,7.47
2386,Madaoua,1,0,>100k,14.08,5.96
2388,El Khroub,1,0,>100k,36.26,6.71
2389,Osnabrück,1,0,>100k,52.28,8.05
2392,Basel,1,0,>250k,47.56,7.61
2394,Strasbourg,1,0,>250k,48.58,7.74
2395,Oldenburg,1,0,>100k,53.14,8.21
2396,Bida,1,0,>250k,9.08,6.01
2398,Ughelli,1,0,>100k,5.5,6
2400,Skikda,1,0,>100k,36.87,6.95
2405,Turin,1,0,>500k,45.07,7.65
2407,Ekpoma,1,0,>100k,6.74,6.13
2408,Freiburg im Breisgau,1,0,>100k,48,7.84
2410,Amassoma,1,0,>100k,4.98,6.1
2412,Enwan,1,0,>100k,7.28,6.12
2413,El Oued,1,0,>100k,33.35,6.87
2414,Okene,1,0,>500k,7.55,6.21
